customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00045,Female,0,Yes,Yes,10,No,DSL,Two year,No,Credit card,45.72,410.94,0
CUST-00046,Male,0,Yes,Yes,47,Yes,DSL,Two year,No,Electronic check,48.29,2166.54,0
CUST-00047,Female,0,No,Yes,64,Yes,Fiber optic,Month-to-month,No,Electronic check,67.52,4294.71,0
CUST-00048,Female,1,Yes,No,10,Yes,No,Month-to-month,No,Bank transfer,30.89,283.21,0
CUST-00049,Female,0,Yes,No,61,Yes,Fiber optic,Month-to-month,Yes,Credit card,73.35,4529.94,0
CUST-00050,Female,0,Yes,No,8,No,DSL,Month-to-month,Yes,Credit card,55.45,404.46,0
CUST-00051,Male,0,Yes,No,63,Yes,Fiber optic,Month-to-month,No,Credit card,64.93,4113.23,0
CUST-00052,Male,0,Yes,No,57,Yes,No,Two year,Yes,Mailed check,18.0,961.39,1
CUST-00053,Male,0,Yes,No,11,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,80.17,905.88,0
CUST-00054,Male,0,No,No,53,Yes,No,Month-to-month,Yes,Credit card,28.08,1376.35,0
CUST-00055,Male,0,No,No,9,Yes,No,One year,Yes,Credit card,18.0,266.76,0
CUST-00056,Female,1,Yes,Yes,41,Yes,Fiber optic,Month-to-month,Yes,Credit card,77.22,3158.97,0
CUST-00057,Male,0,No,No,67,Yes,No,Month-to-month,Yes,Credit card,33.54,2107.45,0
CUST-00058,Female,0,No,No,15,Yes,DSL,Two year,Yes,Credit card,63.83,921.56,1
CUST-00059,Female,0,Yes,No,13,Yes,No,Month-to-month,Yes,Electronic check,27.0,307.22,0
CUST-00060,Female,1,Yes,No,31,Yes,No,Month-to-month,Yes,Electronic check,38.48,1160.09,0
CUST-00061,Female,0,No,No,27,Yes,No,One year,No,Credit card,18.0,467.77,0
CUST-00062,Male,0,Yes,Yes,4,Yes,Fiber optic,Month-to-month,Yes,Mailed check,69.71,245.71,1
CUST-00063,Female,0,Yes,No,33,Yes,Fiber optic,Month-to-month,No,Electronic check,67.32,2180.74,0
CUST-00064,Male,0,Yes,Yes,19,Yes,DSL,Month-to-month,Yes,Mailed check,52.74,944.13,0
CUST-00065,Male,1,Yes,No,9,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,87.89,832.1,1
CUST-00066,Female,0,Yes,Yes,20,Yes,DSL,Two year,No,Credit card,52.0,1100.06,0
CUST-00067,Male,0,Yes,No,2,No,Fiber optic,Month-to-month,No,Credit card,62.5,112.27,1
CUST-00068,Male,0,Yes,No,66,Yes,Fiber optic,Month-to-month,Yes,Electronic check,59.89,3951.86,1
CUST-00069,Male,0,No,Yes,72,Yes,DSL,Month-to-month,No,Mailed check,63.17,4491.92,0
CUST-00070,Female,1,Yes,No,27,Yes,DSL,Two year,No,Electronic check,59.11,1599.52,0
CUST-00071,Male,0,No,No,64,Yes,DSL,Month-to-month,Yes,Credit card,53.58,3440.62,0
CUST-00072,Male,0,No,No,34,Yes,Fiber optic,Two year,Yes,Electronic check,67.25,2275.53,1
CUST-00073,Male,1,No,Yes,66,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,77.14,5111.04,0
CUST-00074,Female,1,No,Yes,13,Yes,Fiber optic,Two year,Yes,Bank transfer,67.1,887.74,1
CUST-00075,Male,0,Yes,No,21,Yes,DSL,Month-to-month,No,Bank transfer,53.1,1062.39,0
CUST-00076,Male,0,Yes,No,54,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,60.6,3332.05,1
CUST-00077,Male,0,Yes,No,16,No,Fiber optic,Month-to-month,No,Bank transfer,67.13,1063.7,0
CUST-00078,Female,0,No,Yes,60,Yes,DSL,Month-to-month,No,Bank transfer,44.86,2775.38,0
CUST-00079,Female,0,No,No,31,No,DSL,One year,No,Electronic check,23.94,763.16,0
CUST-00080,Female,0,No,No,30,Yes,Fiber optic,One year,Yes,Mailed check,67.23,2115.45,0
CUST-00081,Male,1,Yes,Yes,33,Yes,DSL,One year,Yes,Mailed check,47.81,1636.49,0
CUST-00082,Male,1,Yes,No,58,Yes,DSL,Month-to-month,Yes,Electronic check,53.32,3103.92,0
CUST-00083,Female,1,No,Yes,1,Yes,DSL,One year,No,Bank transfer,55.01,18.85,0
CUST-00084,Female,1,No,No,55,Yes,DSL,Month-to-month,Yes,Electronic check,69.14,3767.62,0
CUST-00085,Female,0,No,No,57,Yes,DSL,Two year,No,Credit card,52.44,3015.73,0
CUST-00086,Male,0,Yes,No,60,Yes,DSL,One year,Yes,Electronic check,52.67,3167.36,0
CUST-00087,Male,0,Yes,No,72,Yes,Fiber optic,One year,Yes,Bank transfer,73.96,5295.67,0
CUST-00088,Female,0,Yes,Yes,57,Yes,Fiber optic,Two year,No,Electronic check,76.97,4428.94,0
CUST-00089,Female,0,No,Yes,39,Yes,Fiber optic,One year,No,Mailed check,73.63,2873.51,0
CUST-00090,Male,0,Yes,Yes,34,Yes,Fiber optic,One year,Yes,Electronic check,72.25,2498.45,0
CUST-00091,Female,0,No,No,28,Yes,Fiber optic,Month-to-month,No,Bank transfer,75.69,2070.55,1
CUST-00092,Female,0,Yes,No,60,Yes,DSL,One year,Yes,Electronic check,30.59,1885.37,0
CUST-00093,Male,0,Yes,Yes,29,Yes,DSL,Month-to-month,No,Bank transfer,66.71,1959.64,0
CUST-00094,Female,0,Yes,Yes,42,Yes,DSL,Month-to-month,Yes,Bank transfer,62.72,2694.12,0
CUST-00095,Male,0,No,Yes,7,Yes,Fiber optic,Two year,Yes,Credit card,71.74,551.05,0
CUST-00096,Male,0,No,No,23,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,58.7,1345.85,0
CUST-00097,Female,0,No,No,20,Yes,Fiber optic,One year,Yes,Bank transfer,79.68,1585.33,0
CUST-00098,Female,1,No,No,32,Yes,Fiber optic,Month-to-month,No,Credit card,69.45,2311.55,1
CUST-00099,Male,0,Yes,No,37,Yes,No,Month-to-month,Yes,Electronic check,29.27,1068.46,0
CUST-00100,Female,0,Yes,Yes,52,Yes,DSL,Two year,Yes,Bank transfer,39.74,2103.9,0
CUST-00101,Male,0,No,No,32,Yes,Fiber optic,Month-to-month,Yes,Mailed check,87.81,2790.85,0
CUST-00102,Female,0,Yes,No,11,Yes,Fiber optic,One year,Yes,Bank transfer,58.46,549.97,0
CUST-00103,Male,0,Yes,Yes,40,Yes,Fiber optic,One year,No,Electronic check,70.55,2760.63,0
CUST-00104,Female,0,No,No,4,Yes,Fiber optic,Two year,Yes,Mailed check,53.02,232.38,0
CUST-00105,Female,0,No,Yes,62,Yes,Fiber optic,Month-to-month,No,Bank transfer,69.67,4354.6,1
CUST-00106,Female,0,Yes,No,56,Yes,DSL,One year,No,Mailed check,46.6,2630.06,0
CUST-00107,Female,0,No,No,17,Yes,Fiber optic,Month-to-month,Yes,Electronic check,79.1,1402.0,1
CUST-00108,Male,1,No,No,19,Yes,Fiber optic,Month-to-month,No,Mailed check,71.6,1379.96,0
CUST-00109,Female,0,No,No,2,Yes,Fiber optic,Month-to-month,Yes,Credit card,79.11,119.46,0
CUST-00110,Male,0,No,Yes,27,No,No,Month-to-month,Yes,Electronic check,18.0,515.72,0
CUST-00111,Female,0,Yes,No,3,Yes,DSL,Month-to-month,Yes,Mailed check,47.74,151.7,1
CUST-00112,Female,0,Yes,No,68,Yes,Fiber optic,Month-to-month,Yes,Credit card,67.9,4588.42,0
CUST-00113,Male,1,No,No,10,Yes,Fiber optic,Month-to-month,Yes,Credit card,78.96,813.23,1
CUST-00114,Female,1,Yes,No,48,Yes,Fiber optic,One year,Yes,Electronic check,77.95,3745.57,0
CUST-00115,Female,0,Yes,Yes,42,Yes,No,Month-to-month,No,Mailed check,30.78,1262.51,0
CUST-00116,Male,0,No,No,18,Yes,DSL,Month-to-month,Yes,Electronic check,52.13,929.45,1
CUST-00117,Male,0,Yes,No,59,Yes,Fiber optic,Month-to-month,No,Credit card,75.29,4512.79,0
CUST-00118,Male,0,No,Yes,8,Yes,Fiber optic,Month-to-month,Yes,Mailed check,62.82,571.6,0
CUST-00119,Male,1,Yes,No,64,Yes,No,One year,No,Mailed check,33.11,2128.45,0
CUST-00120,Male,0,Yes,No,54,Yes,Fiber optic,Two year,Yes,Electronic check,82.87,4477.84,0
CUST-00121,Female,0,No,No,46,Yes,No,One year,Yes,Bank transfer,18.0,756.35,0
CUST-00122,Female,0,No,No,64,No,No,One year,Yes,Electronic check,28.91,1936.21,0
CUST-00123,Male,0,Yes,No,30,Yes,DSL,Month-to-month,No,Bank transfer,55.41,1714.12,0
CUST-00124,Female,0,Yes,No,21,Yes,No,Two year,No,Mailed check,36.69,808.09,1
CUST-00125,Female,0,Yes,Yes,12,No,No,Month-to-month,Yes,Bank transfer,30.81,255.98,1
CUST-00126,Male,0,Yes,No,67,Yes,DSL,Month-to-month,No,Credit card,50.8,3405.65,0
CUST-00127,Female,0,No,No,29,Yes,Fiber optic,Month-to-month,No,Electronic check,73.44,2123.4,1
CUST-00128,Female,0,Yes,No,60,Yes,DSL,Month-to-month,Yes,Electronic check,44.12,2681.34,0
CUST-00129,Female,1,Yes,No,24,Yes,Fiber optic,One year,Yes,Mailed check,71.9,1703.05,0
CUST-00130,Female,1,Yes,No,69,Yes,DSL,Month-to-month,No,Bank transfer,44.31,3045.8,0
CUST-00131,Female,0,Yes,No,63,Yes,Fiber optic,Month-to-month,No,Electronic check,81.9,5190.67,0
CUST-00132,Male,0,No,No,23,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,73.6,1654.12,0
CUST-00133,Female,0,Yes,No,36,Yes,Fiber optic,Two year,Yes,Mailed check,62.67,2227.42,0
CUST-00134,Female,1,No,No,58,Yes,DSL,One year,Yes,Bank transfer,57.17,3325.53,0
CUST-00135,Male,0,Yes,Yes,17,Yes,Fiber optic,Two year,No,Bank transfer,79.27,1414.51,0
CUST-00136,Female,0,Yes,No,2,Yes,Fiber optic,Two year,Yes,Electronic check,77.94,196.3,0
CUST-00137,Male,0,No,No,21,Yes,Fiber optic,Two year,Yes,Electronic check,62.58,1367.95,0
CUST-00138,Male,0,Yes,No,43,Yes,DSL,Month-to-month,Yes,Bank transfer,24.93,1075.16,0
CUST-00139,Male,0,Yes,No,10,Yes,DSL,Month-to-month,No,Mailed check,53.16,606.35,0
CUST-00140,Female,0,Yes,No,25,Yes,Fiber optic,Month-to-month,No,Bank transfer,62.91,1485.69,1
CUST-00141,Male,0,Yes,No,67,Yes,No,Month-to-month,Yes,Credit card,29.98,2109.77,0
CUST-00142,Male,0,No,Yes,6,Yes,DSL,One year,Yes,Electronic check,57.6,453.19,0
CUST-00143,Male,0,No,No,4,Yes,Fiber optic,Month-to-month,No,Mailed check,78.91,338.47,1
CUST-00144,Female,0,Yes,No,31,Yes,DSL,Month-to-month,Yes,Mailed check,63.96,2024.37,0
CUST-00145,Female,0,No,Yes,1,Yes,Fiber optic,One year,Yes,Electronic check,79.89,77.99,0
CUST-00146,Male,0,No,Yes,3,Yes,DSL,Month-to-month,No,Credit card,64.0,181.52,1
CUST-00147,Male,0,No,No,14,Yes,Fiber optic,Month-to-month,Yes,Credit card,81.03,1103.88,0
CUST-00148,Female,0,Yes,No,8,Yes,DSL,Month-to-month,Yes,Electronic check,61.73,491.39,1
CUST-00149,Male,1,No,No,59,Yes,DSL,One year,Yes,Credit card,54.67,3253.33,0
CUST-00150,Female,0,Yes,Yes,9,Yes,DSL,Month-to-month,No,Electronic check,39.69,378.2,1
CUST-00151,Male,1,No,No,38,Yes,DSL,Month-to-month,No,Credit card,74.86,2944.01,0
CUST-00152,Female,0,No,No,51,No,Fiber optic,Month-to-month,Yes,Credit card,70.5,3600.51,0
CUST-00153,Male,0,Yes,No,46,Yes,No,One year,No,Electronic check,34.83,1527.74,0
CUST-00154,Male,0,Yes,No,48,Yes,Fiber optic,Month-to-month,No,Bank transfer,65.6,3231.02,0
CUST-00155,Female,0,No,Yes,26,Yes,No,Month-to-month,No,Bank transfer,32.71,789.41,0
CUST-00156,Male,0,Yes,No,64,Yes,Fiber optic,Two year,Yes,Electronic check,50.44,3200.19,0
CUST-00157,Female,0,No,Yes,5,No,DSL,Two year,Yes,Mailed check,46.72,247.19,0
CUST-00158,Female,0,No,No,8,Yes,DSL,Month-to-month,No,Bank transfer,49.21,414.54,1
CUST-00159,Female,0,Yes,Yes,62,Yes,Fiber optic,Month-to-month,Yes,Electronic check,73.7,4497.13,0
CUST-00160,Female,0,Yes,No,5,Yes,DSL,Month-to-month,Yes,Electronic check,58.58,255.58,1
CUST-00161,Female,0,Yes,Yes,14,Yes,No,One year,Yes,Electronic check,18.0,177.96,0
CUST-00162,Male,0,Yes,No,13,Yes,Fiber optic,Month-to-month,No,Bank transfer,75.28,1009.73,1
CUST-00163,Male,0,Yes,No,3,Yes,Fiber optic,Two year,Yes,Mailed check,79.81,298.6,0
CUST-00164,Male,0,Yes,No,9,No,Fiber optic,Two year,Yes,Mailed check,88.77,737.84,0
CUST-00165,Female,1,No,Yes,42,Yes,Fiber optic,One year,No,Electronic check,80.65,3437.08,0
CUST-00166,Male,0,Yes,Yes,48,Yes,Fiber optic,Month-to-month,Yes,Electronic check,66.32,3229.9,0
CUST-00167,Male,0,No,No,6,Yes,DSL,Two year,Yes,Bank transfer,39.83,206.03,0
CUST-00168,Male,0,No,No,68,Yes,DSL,One year,Yes,Electronic check,64.63,4295.71,0
CUST-00169,Male,0,No,No,7,Yes,DSL,One year,Yes,Bank transfer,55.9,337.74,1
CUST-00170,Male,0,No,No,50,Yes,DSL,Month-to-month,No,Mailed check,49.82,2461.24,0
CUST-00171,Male,0,Yes,No,58,Yes,Fiber optic,One year,Yes,Bank transfer,57.04,3385.4,0
CUST-00172,Female,0,No,No,38,Yes,DSL,Two year,No,Mailed check,42.55,1610.98,1
CUST-00173,Female,0,Yes,Yes,36,Yes,DSL,Two year,Yes,Credit card,55.05,1931.46,0
CUST-00174,Female,0,Yes,No,8,Yes,No,One year,Yes,Electronic check,27.83,230.03,0
CUST-00175,Male,0,Yes,No,18,Yes,No,Month-to-month,Yes,Credit card,18.0,259.23,0
CUST-00176,Female,0,No,No,62,Yes,Fiber optic,Month-to-month,Yes,Electronic check,75.06,4679.44,1
CUST-00177,Male,0,No,No,26,No,Fiber optic,One year,Yes,Electronic check,57.45,1444.82,0
CUST-00178,Female,0,No,No,3,No,Fiber optic,Two year,Yes,Bank transfer,80.83,200.86,0
CUST-00179,Female,0,No,No,53,Yes,DSL,One year,No,Electronic check,51.67,2757.28,0
CUST-00180,Female,0,Yes,No,50,Yes,Fiber optic,Month-to-month,Yes,Mailed check,66.29,3402.01,1
CUST-00181,Male,0,No,Yes,5,Yes,DSL,Month-to-month,No,Credit card,57.92,399.49,0
CUST-00182,Male,0,Yes,No,4,Yes,Fiber optic,One year,Yes,Bank transfer,72.83,239.33,0
CUST-00183,Female,0,No,No,9,Yes,No,Two year,Yes,Bank transfer,35.6,290.57,1
CUST-00184,Male,0,Yes,No,4,Yes,Fiber optic,Month-to-month,Yes,Credit card,70.64,308.34,1
CUST-00185,Male,0,No,No,45,Yes,No,Month-to-month,Yes,Mailed check,26.11,1233.39,0
CUST-00186,Male,0,Yes,Yes,10,Yes,Fiber optic,Two year,Yes,Electronic check,67.72,569.0,0
CUST-00187,Male,1,No,Yes,44,Yes,Fiber optic,Month-to-month,Yes,Credit card,77.1,3396.77,1
CUST-00188,Male,0,Yes,Yes,13,Yes,Fiber optic,Month-to-month,Yes,Electronic check,83.58,1062.18,1
CUST-00189,Male,0,Yes,No,71,Yes,Fiber optic,Month-to-month,No,Electronic check,65.98,4588.38,0
CUST-00190,Female,0,No,Yes,53,Yes,Fiber optic,Month-to-month,Yes,Electronic check,75.18,3917.68,0
CUST-00191,Female,0,Yes,No,27,Yes,DSL,Month-to-month,No,Electronic check,42.96,1131.53,1
CUST-00192,Female,1,Yes,No,31,Yes,Fiber optic,One year,Yes,Electronic check,58.47,1815.51,0
CUST-00193,Male,1,Yes,No,5,Yes,DSL,One year,Yes,Electronic check,56.66,333.71,0
CUST-00194,Female,1,Yes,Yes,4,Yes,Fiber optic,One year,Yes,Bank transfer,77.96,329.56,0
CUST-00195,Male,0,Yes,No,39,No,DSL,One year,Yes,Bank transfer,49.12,1963.06,0
CUST-00196,Male,0,No,Yes,2,Yes,Fiber optic,Month-to-month,No,Credit card,58.03,117.4,0
CUST-00197,Male,0,Yes,No,46,Yes,DSL,Month-to-month,No,Electronic check,52.43,2376.53,0
CUST-00198,Male,0,Yes,Yes,28,Yes,DSL,Month-to-month,Yes,Electronic check,52.13,1450.45,0
CUST-00199,Female,0,Yes,Yes,11,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,62.89,726.57,0
CUST-00200,Male,0,No,Yes,39,Yes,DSL,One year,No,Electronic check,39.17,1579.26,0
CUST-00201,Female,0,No,No,40,Yes,No,Month-to-month,Yes,Mailed check,22.98,911.81,0
CUST-00202,Male,0,Yes,Yes,54,Yes,Fiber optic,One year,Yes,Bank transfer,75.22,4015.42,0
CUST-00203,Female,0,Yes,No,15,No,DSL,Month-to-month,Yes,Bank transfer,53.33,816.73,0
CUST-00204,Male,0,Yes,No,40,Yes,DSL,Month-to-month,Yes,Electronic check,42.95,1741.9,1
CUST-00205,Male,0,No,No,61,Yes,No,Month-to-month,Yes,Bank transfer,26.1,1653.74,0
CUST-00206,Female,0,No,Yes,20,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,77.1,1508.06,0
CUST-00207,Female,0,No,Yes,61,Yes,Fiber optic,One year,No,Credit card,60.62,3664.43,0
CUST-00208,Male,0,Yes,No,53,Yes,DSL,Two year,Yes,Electronic check,50.51,2714.84,0
CUST-00209,Female,0,No,Yes,31,Yes,Fiber optic,Month-to-month,No,Bank transfer,80.72,2481.95,1
CUST-00210,Male,0,Yes,No,64,Yes,No,One year,No,Bank transfer,18.0,1129.52,0
CUST-00211,Female,0,No,No,70,Yes,Fiber optic,One year,Yes,Electronic check,79.24,5609.51,0
CUST-00212,Female,0,No,No,18,Yes,DSL,Month-to-month,Yes,Bank transfer,62.95,1064.55,1
CUST-00213,Male,0,Yes,Yes,71,Yes,DSL,Month-to-month,Yes,Bank transfer,48.22,3526.43,0
CUST-00214,Female,0,No,No,1,Yes,DSL,Month-to-month,No,Electronic check,47.26,16.63,1
CUST-00215,Male,0,No,Yes,10,Yes,Fiber optic,Month-to-month,Yes,Mailed check,78.26,825.94,0
CUST-00216,Male,0,Yes,No,4,Yes,No,Two year,No,Mailed check,23.51,88.6,0
CUST-00217,Male,0,Yes,Yes,27,Yes,No,Month-to-month,Yes,Bank transfer,18.0,499.57,0
CUST-00218,Male,0,Yes,No,68,Yes,Fiber optic,Month-to-month,No,Electronic check,69.21,4693.14,0
CUST-00219,Female,0,No,No,44,Yes,DSL,One year,Yes,Mailed check,53.76,2408.27,0
CUST-00220,Male,0,Yes,Yes,45,Yes,No,Month-to-month,Yes,Electronic check,30.92,1374.03,1
CUST-00221,Male,0,Yes,Yes,7,Yes,DSL,One year,No,Bank transfer,42.95,272.0,0
CUST-00222,Female,1,No,Yes,38,Yes,DSL,Month-to-month,No,Bank transfer,52.84,2098.59,0
CUST-00223,Male,0,Yes,Yes,28,Yes,Fiber optic,Month-to-month,Yes,Mailed check,77.82,2180.43,1
CUST-00224,Female,0,Yes,Yes,35,Yes,DSL,Month-to-month,Yes,Mailed check,49.52,1699.42,0
CUST-00225,Male,1,No,No,19,Yes,No,Month-to-month,Yes,Electronic check,18.0,267.49,1
CUST-00226,Female,0,No,No,15,Yes,No,Month-to-month,No,Electronic check,34.9,616.78,1
CUST-00227,Female,0,No,Yes,69,Yes,Fiber optic,One year,Yes,Bank transfer,68.29,4684.41,0
CUST-00228,Female,1,Yes,No,41,Yes,Fiber optic,One year,Yes,Electronic check,83.73,3536.02,1
CUST-00229,Male,0,Yes,Yes,30,No,Fiber optic,One year,No,Bank transfer,58.84,1785.14,0
CUST-00230,Male,0,Yes,No,6,Yes,DSL,Month-to-month,Yes,Bank transfer,49.03,301.32,0
CUST-00231,Female,0,No,Yes,55,Yes,Fiber optic,Two year,Yes,Credit card,74.08,4082.89,0
CUST-00232,Male,0,Yes,No,35,Yes,Fiber optic,Month-to-month,No,Electronic check,69.3,2536.3,0
CUST-00233,Female,0,Yes,No,28,Yes,No,Two year,No,Mailed check,18.0,394.39,1
CUST-00234,Male,0,No,Yes,49,Yes,DSL,One year,No,Electronic check,30.91,1525.31,0
CUST-00235,Female,0,No,Yes,10,Yes,DSL,One year,Yes,Credit card,62.19,608.64,1
CUST-00236,Female,0,No,No,39,Yes,DSL,Month-to-month,Yes,Bank transfer,51.98,2016.57,1
CUST-00237,Male,0,Yes,No,63,Yes,Fiber optic,One year,No,Bank transfer,79.33,5005.26,0
CUST-00238,Male,0,No,No,34,Yes,Fiber optic,One year,Yes,Bank transfer,77.43,2619.31,0
CUST-00239,Female,0,Yes,No,1,Yes,No,Month-to-month,Yes,Electronic check,29.77,39.18,0
CUST-00240,Male,1,No,No,17,Yes,DSL,One year,Yes,Bank transfer,52.43,890.13,0
CUST-00241,Female,0,Yes,No,5,Yes,Fiber optic,Month-to-month,Yes,Credit card,73.92,303.92,0
CUST-00242,Male,0,No,No,37,Yes,DSL,Month-to-month,No,Electronic check,61.46,2293.09,0
CUST-00243,Female,0,Yes,No,27,Yes,DSL,One year,Yes,Credit card,50.66,1403.62,0
CUST-00244,Female,0,No,No,10,Yes,DSL,Two year,Yes,Credit card,65.21,625.0,0
CUST-00245,Male,0,Yes,Yes,50,No,Fiber optic,Month-to-month,No,Credit card,58.0,2993.39,1
CUST-00246,Female,0,No,No,13,Yes,Fiber optic,Month-to-month,No,Credit card,57.14,809.6,1
CUST-00247,Male,0,Yes,Yes,25,Yes,DSL,Month-to-month,Yes,Electronic check,57.9,1489.7,0
CUST-00248,Female,1,Yes,Yes,72,Yes,Fiber optic,Month-to-month,No,Bank transfer,68.45,4969.99,1
CUST-00249,Male,1,Yes,No,5,Yes,No,Month-to-month,Yes,Electronic check,46.35,233.25,1
CUST-00250,Male,0,No,Yes,18,Yes,DSL,Month-to-month,No,Bank transfer,60.7,1149.67,0
CUST-00251,Male,0,Yes,Yes,23,Yes,DSL,One year,Yes,Electronic check,62.7,1520.64,0
CUST-00252,Male,0,Yes,Yes,37,Yes,Fiber optic,Month-to-month,Yes,Credit card,77.08,2892.36,0
CUST-00253,Male,0,No,No,18,Yes,Fiber optic,Month-to-month,Yes,Electronic check,62.63,1098.83,1
CUST-00254,Female,0,Yes,No,70,Yes,No,Month-to-month,No,Electronic check,18.0,1258.02,0
CUST-00255,Male,1,Yes,Yes,1,Yes,DSL,Month-to-month,Yes,Electronic check,66.96,95.64,1
